Project,TransactionPrice,Area,SaleDate,SaleType,PropertyType,Tenure,CompletionDate,NumberofUnits,PurchaserType,PostalCode,Floor,MaxFloor
SIMSVILLE,0,968.76,1996-04-22,New Sale,Condominium,99 yrs from 01/12/1994,1998,1,Private,389756,8,16
QUEENS,0,1194.8,2002-02-25,New Sale,Condominium,99 yrs from 16/02/1998,2002,1,HDB,148957,24,38
THE SUITES AT CENTRAL,0,1679.18,2007-06-19,New Sale,Condominium,Freehold,2009,1,Private,239899,4,33
CENTRA HEIGHTS,0,462.85,2011-05-04,New Sale,Apartment,Freehold,Uncompleted,1,HDB,387607,10,13
# 1 SUITES,0,559.73,2014-03-27,New Sale,Apartment,Freehold,Uncompleted,1,HDB,398721,2,8
THE METROPOLITAN CONDOMINIUM,0,1065.64,2006-11-29,New Sale,Condominium,99 yrs from 17/02/2006,Uncompleted,1,Private,158746,25,44
THE PARC CONDOMINIUM,0,1205.57,2007-09-10,New Sale,Condominium,Freehold,Uncompleted,1,HDB,127161,1,24
BOTANNIA,0,1270.15,2009-08-14,Sub Sale,Condominium,956 yrs from 27/05/1928,2009,1,Private,127723,3,12
R MAISON,0,936.47,2013-04-29,New Sale,Apartment,Freehold,Uncompleted,1,Private,357699,4,5
EMILY RESIDENCE,0,656.6,2010-09-03,Resale,Apartment,Freehold,2006,1,Private,228485,7,8
THE MAYFAIR,0,893.41,1997-12-19,New Sale,Condominium,99 yrs from 04/12/1996,2000,1,HDB,609479,5,20
ADAM PARK CONDOMINIUM,0,893.41,2002-04-29,New Sale,Condominium,Freehold,2004,1,HDB,289901,3,5
CLOVER BY THE PARK,0,1754.53,2008-07-18,New Sale,Condominium,99 yrs from 10/09/2007,Uncompleted,1,HDB,573975,37,39
THOMSON EURO-ASIA,0,1130.22,2000-02-22,New Sale,Condominium,Freehold,2002,1,HDB,307605,8,29
COMMONWEALTH TOWERS,0,904.18,2017-03-19,New Sale,Condominium,99 yrs from 07/05/2013,Uncompleted,1,Private,149739,38,43
LOFT @ NATHAN,0,452.09,2011-01-03,New Sale,Apartment,Freehold,Uncompleted,1,Private,248749,5,7
AMBER PARK,0,699.66,2021-02-27,New Sale,Condominium,Freehold,Uncompleted,1,N.A,439981,11,21
PARC VISTA,0,1054.87,1996-05-02,New Sale,Condominium,99 yrs from 01/03/1995,1997,1,HDB,649814,6,16
THE CREST,0,1194.8,2020-09-01,Resale,Condominium,99 yrs from 21/12/2012,2017,1,Private,159018,3,23
THE COAST AT SENTOSA COVE,0,2023.63,2006-11-21,New Sale,Condominium,99 yrs from 11/04/2006,2009,1,Private,98450,2,8
GLENTREES,0,3670.52,2005-07-22,Sub Sale,Condominium,999 yrs from 17/09/1885,2005,1,Private,277055,1,5
HIGH POINT,0,2927.81,1999-08-16,Resale,Apartment,Freehold,1974,1,Private,228519,12,20
COSTA RHU,0,2217.38,1998-07-01,Sub Sale,Condominium,99 yrs from 30/05/1994,1997,1,HDB,437436,5,17
8@WOODLEIGH,0,839.59,2009-06-20,New Sale,Condominium,99 yrs from 22/09/2008,Uncompleted,1,HDB,357900,3,15
SIMS URBAN OASIS,0,958.0,2017-07-04,New Sale,Condominium,99 yrs from 29/07/2014,Uncompleted,1,HDB,387388,14,19
HIGHLINE RESIDENCES,0,1076.4,2016-05-08,New Sale,Condominium,99 yrs from 22/07/2013,Uncompleted,1,Private,168594,7,35
MIDTOWN MODERN,0,1065.64,2021-03-20,New Sale,Apartment,99 yrs from 10/12/2019,Uncompleted,1,N.A,188144,22,30
THE SUITES AT CENTRAL,0,1076.4,2007-06-15,Sub Sale,Condominium,Freehold,2009,1,HDB,239897,22,33
DUO RESIDENCES,0,721.19,2013-12-02,New Sale,Apartment,99 yrs from 01/07/2011,Uncompleted,1,Private,189350,19,49
THE TRESOR,0,1926.76,2008-01-14,Sub Sale,Condominium,999 yrs from 27/12/1875,2007,1,Private,269029,4,5
TIARA,0,1302.44,2007-07-13,Resale,Condominium,Freehold,1995,1,Private,239403,28,35
VIZ AT HOLLAND,0,495.14,2010-08-12,Resale,Condominium,Freehold,2008,1,Private,276750,5,12
TREASURE PLACE,0,2174.33,2009-06-05,Resale,Condominium,Freehold,2006,1,Private,119174,5,5
SEASIDE RESIDENCES,0,3293.78,2019-12-20,New Sale,Apartment,99 yrs from 18/04/2016,Uncompleted,1,Private,448872,27,27
ROBERTSON EDGE,0,430.56,2010-04-08,Resale,Apartment,999 yrs from 01/07/1841,2008,1,HDB,238010,7,10
THE AVENIR,0,538.2,2020-11-01,New Sale,Condominium,Freehold,Uncompleted,1,N.A,238432,3,36
ASPEN HEIGHTS,0,1323.97,2014-02-07,Resale,Condominium,999 yrs from 01/07/1841,1998,1,HDB,238307,6,16
TIARA,0,1506.96,1995-07-01,Sub Sale,Condominium,Freehold,1995,1,HDB,239403,16,35
HUNDRED TREES,0,1474.67,2009-10-30,New Sale,Condominium,956 yrs from 27/05/1928,Uncompleted,1,Private,128016,9,12
WATERFORD RESIDENCE,0,1087.16,2013-10-21,Resale,Apartment,999 yrs from 01/07/1841,2010,1,Private,239332,1,10
CASPIAN,0,871.88,2011-05-11,Sub Sale,Condominium,99 yrs from 17/03/2008,Uncompleted,1,Private,648317,16,17
THE LEGACY,0,2604.89,2007-07-26,Resale,Apartment,Freehold,1999,1,Private,259750,7,7
THE GARDENS AT BISHAN,0,1582.31,2002-01-23,New Sale,Condominium,99 yrs from 22/03/1997,2004,1,HDB,575574,3,20
PARK INFINIA AT WEE NAM,0,1001.05,2009-03-06,New Sale,Condominium,Freehold,2008,1,Private,308364,14,31
THE POIZ RESIDENCES,0,968.76,2015-11-28,New Sale,Apartment,99 yrs from 17/11/2014,Uncompleted,1,Private,358472,15,18
THE LAKESHORE,0,1044.11,2004-03-01,New Sale,Condominium,99 yrs from 22/11/2002,Uncompleted,1,Private,649413,7,17
VISTA RESIDENCES,0,1205.57,2009-07-22,New Sale,Condominium,Freehold,Uncompleted,1,Private,329426,4,35
THE TIER,0,548.96,2018-12-12,Resale,Apartment,Freehold,2011,1,Private,328373,11,18
SIN MING PLAZA,0,1474.67,2010-01-04,Resale,Apartment,Freehold,1992,1,HDB,575583,4,10
ONE JERVOIS,0,1065.64,2007-05-02,Sub Sale,Condominium,Freehold,Uncompleted,1,Private,249105,10,12
RIVER PLACE,0,1054.87,2010-05-31,Resale,Condominium,99 yrs from 07/11/1995,2000,1,HDB,169658,9,10
THE CAPRI,0,699.66,1996-10-17,New Sale,Apartment,Freehold,1998,1,Private,257864,4,4
THE TRIZON,0,1194.8,2010-04-15,New Sale,Condominium,Freehold,Uncompleted,1,HDB,276698,22,23
THE LINCOLN MODERN,0,1410.08,2004-12-07,Resale,Apartment,Freehold,2003,1,Private,308353,24,29
SHELFORD REGENCY,0,1593.07,2009-04-06,Resale,Condominium,Freehold,1998,1,Private,288455,1,4
THE LAKEFRONT RESIDENCES,0,764.24,2019-04-16,Resale,Condominium,99 yrs from 03/08/2010,2014,1,HDB,648305,5,17
BOONVIEW,0,1291.68,2013-06-24,Resale,Condominium,Freehold,2003,1,Private,574036,13,20
QUEENS,0,1184.04,2000-08-21,New Sale,Condominium,99 yrs from 16/02/1998,2002,1,Private,148954,21,38
QUEENS,0,1194.8,2002-02-21,New Sale,Condominium,99 yrs from 16/02/1998,2002,1,Private,148957,2,38
REGENT PARK,0,1130.22,2005-09-22,Resale,Condominium,99 yrs from 01/12/1993,1997,1,Private,128805,7,10
THOMSON 800,0,1431.61,2010-08-26,Resale,Condominium,Freehold,1999,1,Private,298190,5,20
WATERBANK AT DAKOTA,0,1140.98,2012-12-13,Sub Sale,Condominium,99 yrs from 07/12/2009,Uncompleted,1,HDB,399947,10,20
AVALON,0,1582.31,1999-12-03,New Sale,Condominium,Freehold,1999,1,Private,259985,7,10
PRINCIPAL GARDEN,0,785.77,2017-04-19,New Sale,Condominium,99 yrs from 21/07/2014,Uncompleted,1,Private,159028,4,24
SKY VUE,0,484.38,2013-10-22,New Sale,Condominium,99 yrs from 04/03/2013,Uncompleted,1,HDB,573910,10,37
TIARA,0,1302.44,1996-02-27,Sub Sale,Condominium,Freehold,1995,1,Private,239403,28,35
STARLIGHT SUITES,0,775.01,2013-06-28,New Sale,Apartment,Freehold,Uncompleted,1,HDB,238437,23,33
SKYLINE RESIDENCES,0,1345.5,2012-03-26,New Sale,Condominium,Freehold,Uncompleted,1,HDB,109026,14,24
THE PIER AT ROBERTSON,0,936.47,2006-06-15,New Sale,Apartment,Freehold,2006,1,Private,239013,4,10
THOMSON THREE,0,495.14,2014-02-10,New Sale,Apartment,99 yrs from 07/11/2012,Uncompleted,1,HDB,573895,14,21
STARLIGHT SUITES,0,1076.4,2010-08-30,New Sale,Apartment,Freehold,Uncompleted,1,Private,238437,23,33
THE VANTAGE,0,5769.5,2002-03-06,Resale,Apartment,Freehold,1986,1,Private,258331,12,16
AVENUE SOUTH RESIDENCE,0,1108.69,2020-06-11,New Sale,Apartment,99 yrs from 14/08/2018,Uncompleted,1,Private,168878,5,56
ROBERTSON EDGE,0,505.91,2007-04-11,Sub Sale,Apartment,999 yrs from 01/07/1841,Uncompleted,1,Private,238010,5,10
THE SUITES AT CENTRAL,0,1011.82,2012-12-10,Resale,Condominium,Freehold,2009,1,Private,239897,11,33
D' CASITA,0,516.67,2020-03-26,Resale,Apartment,Freehold,2010,1,HDB,417104,4,5
PARK WEST,0,1894.46,2005-08-30,Resale,Condominium,99 yrs from 08/03/1982,1986,1,Private,128797,14,16
THE TRILINQ,0,1044.11,2016-09-09,New Sale,Condominium,99 yrs from 16/04/2012,Uncompleted,1,HDB,128807,21,36
AVENUE SOUTH RESIDENCE,0,688.9,2019-09-07,New Sale,Apartment,99 yrs from 14/08/2018,Uncompleted,1,HDB,168878,18,56
N.A.,0,1442.38,2007-04-25,Resale,Apartment,Freehold,2002,1,Private,259428,7,23
PARC VISTA,0,1054.87,1999-03-01,Sub Sale,Condominium,99 yrs from 01/03/1995,1998,1,Private,649811,10,16
THE HABITAT II,0,2346.55,1995-12-15,Resale,Condominium,Freehold,1985,1,Private,259947,5,14
THE SHORE RESIDENCES,0,871.88,2013-07-24,Sub Sale,Condominium,103 yrs from 18/08/2009,Uncompleted,1,HDB,439897,12,20
JADESCAPE,0,1054.87,2018-09-22,New Sale,Condominium,99 yrs from 19/06/2018,Uncompleted,1,HDB,575744,12,23
FABER CREST,0,1453.14,2007-03-01,Resale,Condominium,99 yrs from 12/06/1996,2001,1,HDB,129202,1,4
THE BELLEFORTE,0,1022.58,2002-01-24,New Sale,Apartment,Freehold,2003,1,Private,329974,5,19
THE TRILINQ,0,699.66,2017-05-23,Sub Sale,Condominium,99 yrs from 16/04/2012,2017,1,HDB,128809,9,36
THE STELLAR,0,613.55,2006-03-09,New Sale,Condominium,Freehold,Uncompleted,1,Private,127298,2,5
THOMSON 800,0,1625.36,1999-04-28,New Sale,Condominium,Freehold,1999,1,Private,298187,8,20
THOMSON THREE,0,731.95,2013-10-14,New Sale,Apartment,99 yrs from 07/11/2012,Uncompleted,1,Private,573895,17,21
CRYSTAL HEIGHTS,0,1044.11,2009-06-30,New Sale,Apartment,Freehold,Uncompleted,1,HDB,118885,2,5
PARC VISTA,0,1259.39,2010-09-13,Resale,Condominium,99 yrs from 01/03/1995,1998,1,HDB,649810,5,16
CENTRAL GROVE,0,1237.86,2004-04-15,Resale,Condominium,99 yrs from 18/07/1997,2001,1,HDB,389779,6,18
CITY SQUARE RESIDENCES,0,1517.72,2005-05-10,New Sale,Condominium,Freehold,Uncompleted,1,Private,207223,15,30
DENG FU VILLE,0,1011.82,2009-08-17,Resale,Apartment,Freehold,2007,1,HDB,417777,3,5
TREVISTA,0,893.41,2009-09-22,New Sale,Condominium,99 yrs from 15/07/2008,Uncompleted,1,HDB,319583,26,39
PARC VISTA,0,1044.11,1996-01-16,New Sale,Condominium,99 yrs from 01/03/1995,1997,1,HDB,649815,1,16
KATONG REGENCY,0,548.96,2012-05-15,New Sale,Apartment,Freehold,Uncompleted,1,Private,437158,9,16
KINGSLEY MANSIONS,0,1356.26,2010-08-13,Resale,Apartment,Freehold,1987,1,Private,329599,10,10
FABER CREST,0,1248.62,1999-07-09,New Sale,Condominium,99 yrs from 12/06/1996,2001,1,HDB,129200,3,4
CASA FORTUNA,0,1550.02,2020-03-05,Resale,Apartment,Freehold,2011,1,HDB,329980,18,18
FORTUNE JADE,0,1087.16,2000-09-06,Sub Sale,Apartment,Freehold,2003,1,Private,439193,15,18
CRADELS,0,581.26,2012-05-11,New Sale,Apartment,Freehold,Uncompleted,1,Private,328754,13,21
TREVISTA,0,1733.0,2012-01-17,Sub Sale,Condominium,99 yrs from 15/07/2008,2011,1,HDB,319583,21,39
RV EDGE,0,376.74,2010-02-18,New Sale,Apartment,Freehold,Uncompleted,1,HDB,248209,3,7
THE MEZZO,0,775.01,2009-06-15,New Sale,Apartment,Freehold,Uncompleted,1,HDB,329682,9,28
THE ORANGE GROVE,0,2960.1,2018-05-18,Resale,Condominium,Freehold,2010,1,Private,258364,9,12
OLEANAS RESIDENCE,0,1140.98,1997-08-01,New Sale,Condominium,Freehold,1999,1,Private,239347,6,25
AVENUE SOUTH RESIDENCE,0,527.44,2020-02-22,New Sale,Apartment,99 yrs from 14/08/2018,Uncompleted,1,HDB,168878,17,56
26 NEWTON,0,473.62,2017-08-11,Resale,Apartment,Freehold,2016,1,Private,307957,19,25
TURQUOISE,0,2561.83,2010-09-15,Sub Sale,Condominium,99 yrs from 12/03/2007,2010,1,Private,98395,1,6
PRESTIGE HEIGHTS,0,344.45,2017-03-21,Resale,Apartment,Freehold,2011,1,Private,329778,16,18
IRWELL HILL RESIDENCES,0,398.27,2021-04-10,New Sale,Apartment,99 yrs,Uncompleted,1,N.A,239588,10,36
DOVER PARKVIEW,0,1248.62,1995-10-27,New Sale,Condominium,99 yrs from 01/12/1993,1997,1,HDB,138685,3,16
ASTRID MEADOWS,0,6770.56,2008-05-30,Resale,Condominium,Freehold,1990,1,Private,269263,9,9
THE CRISTALLO,0,473.62,2012-04-24,New Sale,Apartment,Freehold,Uncompleted,1,HDB,425687,5,5
THE LAURELS,0,1926.76,2015-05-28,Resale,Condominium,Freehold,2013,1,Private,229660,1,19
ONE LEICESTER,0,1054.87,2006-04-19,New Sale,Condominium,Freehold,Uncompleted,1,Private,358828,9,18
THE BERTH BY THE COVE,0,1905.23,2009-05-22,Resale,Condominium,99 yrs from 18/03/2004,2006,1,Private,98621,2,6
PLATINUM EDGE,0,796.54,2005-10-14,New Sale,Apartment,Freehold,Uncompleted,1,HDB,358847,4,18
PEIRCE VIEW,0,936.47,2010-08-10,Resale,Condominium,Freehold,1996,1,Private,574418,2,4
HAIG COURT,0,1550.02,2004-04-08,New Sale,Condominium,Freehold,2004,1,Private,438791,14,17
THE LAKESHORE,0,1119.46,2009-07-23,Resale,Condominium,99 yrs from 22/11/2002,2008,1,HDB,649411,17,17
D'LEEDON,0,785.77,2013-03-12,New Sale,Condominium,99 yrs from 08/04/2010,Uncompleted,1,Private,266224,29,35
THE PATERSON,0,1216.33,2011-10-28,Resale,Condominium,Freehold,2004,1,Private,238539,4,21
EMERALD PARK,0,1011.82,2004-09-17,Resale,Condominium,99 yrs from 01/09/1991,1993,1,Private,169586,11,14
TRILIGHT,0,1087.16,2018-02-12,Resale,Condominium,Freehold,2012,1,Private,307945,7,30
ST REGIS RESIDENCES SINGAPORE,0,2120.51,2007-01-10,New Sale,Apartment,999 yrs from 24/11/1995,Uncompleted,1,Private,247912,16,22
DUO RESIDENCES,0,1011.82,2020-11-26,Resale,Apartment,99 yrs from 01/07/2011,2017,1,Private,189350,17,49
CLOVER BY THE PARK,0,1216.33,2011-10-14,Sub Sale,Condominium,99 yrs from 10/09/2007,2011,1,HDB,573975,31,39
8 HULLET,0,796.54,2018-05-06,New Sale,Apartment,Freehold,Uncompleted,1,N.A,229160,7,12
KERRISDALE,0,1270.15,2020-10-26,Resale,Condominium,99 yrs from 02/04/1998,2005,1,HDB,207852,14,30
THE LAKESHORE,0,1119.46,2006-09-06,New Sale,Condominium,99 yrs from 22/11/2002,Uncompleted,1,Private,649411,7,17
ESTILO,0,516.67,2007-12-11,New Sale,Apartment,Freehold,Uncompleted,1,Private,228073,4,5
RHAPSODY ON MOUNT ELIZABETH,0,1044.11,2006-12-26,New Sale,Apartment,Freehold,Uncompleted,1,Private,228513,8,17
SKY HABITAT,0,1797.59,2014-09-11,New Sale,Condominium,99 yrs from 30/05/2011,Uncompleted,1,Private,573908,25,37
CLYDESVIEW,0,2098.98,2003-05-20,Resale,Condominium,Freehold,1991,1,Private,159192,1,4
EIGHT RIVERSUITES,0,818.06,2014-04-07,New Sale,Condominium,99 yrs from 11/07/2011,Uncompleted,1,HDB,338521,23,29
ESPADA,0,656.6,2018-04-30,Resale,Apartment,Freehold,2013,1,Private,238126,32,32
VILLA MARINA,0,1130.22,1999-03-01,Sub Sale,Condominium,99 yrs from 13/02/1995,1999,1,Private,457401,3,4
D'LEEDON,0,1076.4,2016-10-03,Resale,Condominium,99 yrs from 08/04/2010,2014,1,Private,267953,28,35
HELIOS RESIDENCES,0,2002.1,2012-04-30,Resale,Apartment,Freehold,2011,1,Private,229815,16,20
ARTRA,0,785.77,2018-04-29,New Sale,Apartment,99 yrs from 15/02/2016,Uncompleted,1,Private,158745,32,43
MODA,0,764.24,2013-02-22,New Sale,Apartment,Freehold,Uncompleted,1,Private,428762,13,16
THE WOODLEIGH RESIDENCES,0,721.19,2019-07-22,New Sale,Apartment,99 yrs from 18/09/2017,Uncompleted,1,Private,367798,8,13
BARTLEY RIDGE,0,462.85,2021-04-01,Resale,Condominium,99 yrs from 16/04/2012,2016,1,Private,368062,14,18
THE CARPMAELINA,0,1216.33,2005-09-12,New Sale,Condominium,Freehold,2005,1,HDB,429974,2,5
THE STELLAR,0,1044.11,2006-02-08,New Sale,Condominium,Freehold,Uncompleted,1,HDB,127307,2,5
THE CENTRIS,0,1743.77,2006-11-02,New Sale,Apartment,99 yrs from 21/06/2006,Uncompleted,1,HDB,648340,16,16
VALLEY PARK,0,1216.33,1996-02-28,Sub Sale,Condominium,999 yrs from 21/06/1877,1997,1,HDB,248364,17,20
LUCKY PLAZA,0,1646.89,1995-10-30,Resale,Apartment,Freehold,1981,1,Private,238863,22,30
SHAW PLAZA - TWIN HEIGHTS,0,1420.85,2008-12-23,Resale,Apartment,Freehold,1999,1,Private,329779,15,19
METRO LOFT,0,473.62,2012-08-28,New Sale,Apartment,Freehold,Uncompleted,1,Private,388158,4,8
PARC OASIS,0,1506.96,2020-10-26,Resale,Condominium,99 yrs from 01/12/1991,1994,1,Private,609775,12,20
REGENT PARK,0,807.3,2011-09-22,Resale,Condominium,99 yrs from 01/12/1993,1997,1,HDB,128805,8,10
THE WOODLEIGH RESIDENCES,0,570.49,2019-05-19,New Sale,Apartment,99 yrs from 18/09/2017,Uncompleted,1,Private,367796,4,13
VACANZA @ EAST,0,1033.34,2011-06-14,New Sale,Condominium,Freehold,Uncompleted,1,HDB,417396,5,12
VISTA RESIDENCES,0,1334.74,2010-01-04,New Sale,Condominium,Freehold,Uncompleted,1,HDB,329426,27,35
EUHABITAT,0,516.67,2012-02-24,New Sale,Condominium,99 yrs from 06/12/2010,Uncompleted,1,HDB,415869,3,5
THE ANCHORAGE,0,1463.9,1996-04-02,Sub Sale,Condominium,Freehold,1997,1,HDB,159961,8,19
26 NEWTON,0,484.38,2017-02-13,New Sale,Apartment,Freehold,2016,1,N.A,307957,17,25
BALMORAL CONDOMINIUM,0,1270.15,2005-11-11,Resale,Condominium,Freehold,1992,1,Private,259802,2,5
CAIRNHILL NINE,0,1033.34,2016-04-22,New Sale,Apartment,99 yrs from 12/05/2014,Uncompleted,1,Private,229723,21,30
WESTCOVE CONDOMINIUM,0,1216.33,1996-01-24,New Sale,Condominium,99 yrs from 01/03/1995,1998,1,HDB,128041,2,17
SPANISH VILLAGE,0,1603.84,2000-05-08,Resale,Condominium,Freehold,1987,1,Private,268847,5,5
THE AZURE,0,1765.3,2016-10-26,Resale,Condominium,99 yrs from 03/01/2005,2008,1,HDB,98584,3,6
STIRLING RESIDENCES,0,882.65,2018-07-19,New Sale,Apartment,99 yrs from 18/08/2017,Uncompleted,1,HDB,148962,4,40
COTE D'AZUR,0,1539.25,2002-07-26,New Sale,Condominium,99 yrs from 25/07/2001,2004,1,Private,449301,19,22
AMBER 45,0,1130.22,2020-11-20,New Sale,Apartment,Freehold,2020,1,HDB,439886,13,21
THE SCENIC @ BRADDELL,0,904.18,2010-05-21,Sub Sale,Apartment,Freehold,Uncompleted,1,HDB,359944,3,6
HIGHLINE RESIDENCES,0,1087.16,2016-05-11,New Sale,Condominium,99 yrs from 22/07/2013,Uncompleted,1,HDB,168594,5,35
THE LAKESHORE,0,1162.51,2011-03-03,Resale,Condominium,99 yrs from 22/11/2002,2008,1,Private,649412,17,17
COMMONWEALTH TOWERS,0,441.32,2018-11-16,Sub Sale,Condominium,99 yrs from 07/05/2013,2017,1,Private,149739,17,43
ST THOMAS SUITES,0,1819.12,2009-10-22,Sub Sale,Condominium,Freehold,Uncompleted,1,Private,238141,6,33
ST MICHAEL'S CONDOMINIUM,0,1377.79,2004-02-26,Resale,Apartment,Freehold,2002,1,HDB,327978,8,10
MARINA COLLECTION,0,1872.94,2011-01-31,New Sale,Condominium,99 yrs from 03/01/2007,Uncompleted,1,Private,98329,2,4
NATHAN SUITES,0,925.7,2010-12-20,New Sale,Condominium,Freehold,Uncompleted,1,Private,248743,7,23
ONE JERVOIS,0,1323.97,2006-08-27,New Sale,Condominium,Freehold,Uncompleted,1,Private,249115,7,12
BISHAN 8,0,979.52,2008-07-14,Resale,Condominium,99 yrs from 09/10/1996,2000,1,HDB,574045,9,10
MARGARET VILLE,0,828.83,2019-07-18,New Sale,Apartment,99 yrs from 13/03/2017,Uncompleted,1,HDB,149312,27,40
TIERRA VUE,0,1259.39,2007-03-29,New Sale,Condominium,Freehold,Uncompleted,1,Private,424162,2,5
SKY HABITAT,0,1022.58,2014-05-19,New Sale,Condominium,99 yrs from 30/05/2011,Uncompleted,1,HDB,573909,12,37
8@WOODLEIGH,0,958.0,2012-10-22,Sub Sale,Condominium,99 yrs from 22/09/2008,2012,1,Private,357900,11,15
CENTRA SUITES,0,419.8,2012-09-06,Sub Sale,Apartment,Freehold,2012,1,Private,388242,7,8
PARK PLACE RESIDENCES AT PLQ,0,484.38,2018-04-07,New Sale,Apartment,99 yrs from 29/06/2015,Uncompleted,1,Private,409056,11,17
THE BEAUMONT,0,2206.62,2002-12-11,Resale,Condominium,Freehold,1985,1,Private,239894,6,10
THOMSON 800,0,1625.36,2008-03-10,Resale,Condominium,Freehold,1999,1,Private,298189,2,20
VACANZA @ EAST,0,1011.82,2010-10-11,New Sale,Condominium,Freehold,Uncompleted,1,HDB,417393,10,12
PARC OASIS,0,1227.1,2005-11-08,Resale,Condominium,99 yrs from 01/12/1991,1994,1,HDB,609783,7,20
IRWELL HILL RESIDENCES,0,495.14,2021-04-10,New Sale,Apartment,99 yrs,Uncompleted,1,N.A,239588,27,36
MONARCHY APARTMENTS,0,1302.44,1996-02-09,New Sale,Apartment,Freehold,Uncompleted,1,HDB,308231,7,14
GEM RESIDENCES,0,570.49,2016-05-27,New Sale,Condominium,99 yrs from 21/09/2015,Uncompleted,1,HDB,319458,19,38
LA BRISA,0,430.56,2010-07-13,New Sale,Apartment,Freehold,Uncompleted,1,HDB,398453,8,8
SKY@ELEVEN,0,2271.2,2010-04-05,Sub Sale,Condominium,Freehold,Uncompleted,1,Private,297726,15,42
CASPIAN,0,1280.92,2009-03-10,New Sale,Condominium,99 yrs from 17/03/2008,Uncompleted,1,HDB,648319,12,17
VACANZA @ EAST,0,484.38,2013-06-14,Sub Sale,Condominium,Freehold,Uncompleted,1,HDB,417398,12,12
THE SIXTH AVENUE RESIDENCES,0,1431.61,2010-03-02,Sub Sale,Condominium,Freehold,2009,1,Private,276543,4,5
WING ON LIFE GARDEN,0,3304.55,2014-03-11,Resale,Apartment,Freehold,1982,1,Private,259718,15,28
SKYPARK,0,699.66,2008-05-12,New Sale,Apartment,Freehold,Uncompleted,1,Private,238107,28,31
PARK COLONIAL,0,667.37,2018-09-07,New Sale,Condominium,99 yrs from 11/10/2017,Uncompleted,1,HDB,357688,12,15
THE METROPOLITAN CONDOMINIUM,0,1399.32,2007-04-27,New Sale,Condominium,99 yrs from 17/02/2006,Uncompleted,1,HDB,158747,16,44
CUSCADEN RESIDENCES,0,6329.23,2012-04-16,Resale,Condominium,Freehold,2002,1,Private,249723,20,20
CENTENNIA SUITES,0,1754.53,2010-05-05,New Sale,Condominium,Freehold,Uncompleted,1,Private,239427,15,36
MILL POINT,0,914.94,2002-06-06,New Sale,Apartment,999 yrs from 21/06/1877,2004,1,HDB,247813,15,19
NOMU,0,635.08,2006-02-23,New Sale,Apartment,Freehold,Uncompleted,1,Private,229236,5,11
VISIONCREST,0,1194.8,2003-10-23,New Sale,Apartment,Freehold,Uncompleted,1,Private,238712,10,14
KING'S ARCADE,0,1657.66,2002-03-05,New Sale,Apartment,Freehold,2002,1,Private,269695,4,4
PAVILION 11,0,1485.43,2011-04-27,Resale,Condominium,Freehold,2009,1,Private,309978,7,31
CALLIDORA VILLE,0,1291.68,2008-06-02,New Sale,Apartment,Freehold,Uncompleted,1,Private,425145,5,5
26 NEWTON,0,473.62,2017-06-27,Resale,Apartment,Freehold,2016,1,HDB,307957,23,25
SIMS URBAN OASIS,0,462.85,2016-01-02,New Sale,Condominium,99 yrs from 29/07/2014,Uncompleted,1,Private,387391,8,19
WESTCOVE CONDOMINIUM,0,1119.46,2013-01-09,Resale,Condominium,99 yrs from 01/03/1995,1998,1,Private,128042,2,17
ARDMORE PARK,0,2884.75,1996-07-25,New Sale,Condominium,Freehold,Uncompleted,1,Private,259955,3,29
PARK PLACE RESIDENCES AT PLQ,0,667.37,2018-04-22,New Sale,Apartment,99 yrs from 29/06/2015,Uncompleted,1,N.A,409053,12,17
VACANZA @ EAST,0,559.73,2010-10-27,New Sale,Condominium,Freehold,Uncompleted,1,HDB,417392,6,12
TANGLIN VIEW,0,1991.34,2018-06-08,Resale,Condominium,99 yrs from 17/05/1997,2001,1,Private,159013,17,20
TRELLIS TOWERS,0,1646.89,1999-08-12,New Sale,Condominium,Freehold,2000,1,Private,319773,20,30
PARC RIVIERA,0,710.42,2017-03-19,New Sale,Condominium,99 yrs from 11/11/2015,Uncompleted,1,HDB,126753,2,36
THE PATERSON,0,1420.85,2015-04-29,Resale,Condominium,Freehold,2004,1,Private,238539,11,21
LEEDON HEIGHTS,0,1689.95,2001-07-01,Resale,Condominium,Freehold,1985,1,Private,267937,15,16
KERRISDALE,0,1399.32,2019-09-24,Resale,Condominium,99 yrs from 02/04/1998,2005,1,Private,207852,1,30
ISLAND VIEW,0,3595.18,2021-03-11,Resale,Condominium,Freehold,1984,1,HDB,119519,1,2
REFLECTIONS AT KEPPEL BAY,0,1517.72,2019-05-16,Resale,Condominium,99 yrs from 15/03/2006,2011,1,N.A,98406,2,40
RIVERGATE,0,1840.64,2006-08-08,New Sale,Apartment,Freehold,Uncompleted,1,Private,238255,37,42
TEXTILE CENTRE,0,893.41,2007-04-12,Resale,Apartment,99 yrs from 02/06/1970,1977,1,Private,199018,18,25
ONE ST MICHAEL'S,0,1248.62,2018-06-18,Resale,Condominium,Freehold,2009,1,Private,328006,22,25
QUEENS,0,1194.8,2007-06-09,Resale,Condominium,99 yrs from 16/02/1998,2002,1,Private,148957,9,38
PARC OASIS,0,1506.96,2012-01-27,Resale,Condominium,99 yrs from 01/12/1991,1994,1,Private,609783,7,20
